"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 00:00","2022","11","01","00:00","12.0","","11.1","","94","","0.0","","","","","","","","99.81","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 01:00","2022","11","01","01:00","12.0","","11.2","","95","","0.0","","","","","","","","99.85","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 02:00","2022","11","01","02:00","12.0","","11.2","","95","","0.0","","","","","","","","99.88","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 03:00","2022","11","01","03:00","12.2","","11.5","","95","","2.4","","","","","","","","99.88","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 04:00","2022","11","01","04:00","12.1","","11.3","","95","","2.5","","","","","","","","99.88","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 05:00","2022","11","01","05:00","12.1","","11.1","","94","","0.0","","","","","","","","99.95","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 06:00","2022","11","01","06:00","12.1","","11.4","","95","","0.0","","","","","","","","100.01","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 07:00","2022","11","01","07:00","12.7","","12.0","","95","","0.0","","","","","","","","100.06","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 08:00","2022","11","01","08:00","13.2","","12.4","","95","","0.0","","","","","","","","100.15","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 09:00","2022","11","01","09:00","14.3","","13.0","","92","","0.0","","","","","","","","100.23","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 10:00","2022","11","01","10:00","14.6","","12.8","","89","","0.0","","","","","","","","100.31","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 11:00","2022","11","01","11:00","15.3","","12.3","","82","","0.0","","","","","","","","100.34","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 12:00","2022","11","01","12:00","16.8","","11.3","","70","","0.0","","","","","","","","100.32","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 13:00","2022","11","01","13:00","18.2","","8.6","","53","","0.0","","","","","","","","100.32","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 14:00","2022","11","01","14:00","17.6","","11.6","","68","","0.0","","","","","","","","100.34","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 15:00","2022","11","01","15:00","15.7","","11.9","","78","","0.0","","","","","","","","100.39","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 16:00","2022","11","01","16:00","15.7","","11.6","","77","","0.0","","","","","","","","100.46","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 17:00","2022","11","01","17:00","15.1","","11.2","","78","","0.0","","","","","","","","100.53","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 18:00","2022","11","01","18:00","13.4","","10.9","","85","","0.0","","","","","","","","100.64","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-11-01 19:00","2022","11","01","19:00","13.0","","10.6","","86","","0.0","","","","","","","","100.73","","","","","","NA"
