"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 00:00","2020","12","01","00:00","0.7","","0.0","","95","","0.3","","34","","15","","","","97.74","","","","","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 01:00","2020","12","01","01:00","0.2","","-0.4","","95","","0.1","","34","","16","","","","97.71","","","","","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 02:00","2020","12","01","02:00","-0.1","","-0.8","","95","","0.0","","34","","16","","","","97.69","","","","-5","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 03:00","2020","12","01","03:00","-0.2","","-1.0","","95","","0.0","","34","","17","","","","97.70","","","","-5","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 04:00","2020","12","01","04:00","-0.6","","-1.3","","95","","0.2","","33","","16","","","","97.69","","","","-5","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 05:00","2020","12","01","05:00","-0.9","","-1.6","","95","","0.8","","33","","14","","","","97.70","","","","-5","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 06:00","2020","12","01","06:00","-1.0","","-1.8","","94","","0.3","","33","","12","","","","97.70","","","","-5","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 07:00","2020","12","01","07:00","-1.3","","-1.9","","95","","0.6","","33","","13","","","","97.72","","","","-6","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 08:00","2020","12","01","08:00","-1.4","","-2.0","","96","","1.0","","31","","13","","","","97.75","","","","-6","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 09:00","2020","12","01","09:00","-1.4","","-2.0","","96","","0.4","","31","","12","","","","97.77","","","","-5","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 10:00","2020","12","01","10:00","-1.2","","-2.2","","93","","0.2","","31","","13","","","","97.78","","","","-5","","NA"
"-79.33","42.97","WELLAND-PELHAM","6139449","2020-12-01 11:00","2020","12","01","11:00","-0.9","","-2.1","","91","","0.0","","30","","12","","","","97.79","","","","-5","","NA"
